Area,Total,Mining and Logging,Construction,Manufacturing,"Trade, transportation and utilities",Information,Financial activities,Professional and business services,Education and health services,Leisure and hospitality,Other services,Government
,,,,,,,,,,,,
Alabama,2015.8,9.9,84.1,265.2,376.6,21,95.8,238.5,245.8,199.9,92.9,386.1
Anniston-Oxford-Jacksonville(1),47.1,–,1,6.6,8.9,0.5,1.3,4.6,5,5.1,1.7,12.4
Auburn-Opelika(1),65,–,2.5,7.1,10.8,0.5,2,7.6,4.7,8.6,2.3,18.9
Birmingham-Hoover,531.8,2.6,25.6,38.5,108.9,7.3,42.1,67.9,73.7,51.6,29.6,84
Daphne-Fairhope-Foley(2),74.4,–,–,–,–,–,–,–,–,–,–,9.8
Decatur(1),54.1,–,3.4,12,10.2,0.3,2,5.4,5.4,5.1,2.2,8.1
Dothan(1),57.6,–,2.5,5.4,14.9,0.6,2,4.6,8.3,6,2.8,10.5
Florence-Muscle Shoals(1),55.9,–,3.1,9.6,11.4,0.5,2.3,3.9,7,6.5,2.2,9.4
Gadsden(1),37.8,–,1.2,5.6,6.5,0.3,1.4,4.1,7.9,4.2,1.4,5.2
Huntsville(1),236,–,8.8,25.1,33.5,2.6,6.7,56.4,21.8,22.6,7.9,50.6
Mobile(1),183.9,–,11.6,18.8,36,2,9.3,23.1,27.7,17.4,12.3,25.7
Montgomery(1),176.9,–,6.2,18.4,30,2.2,7.8,21.4,20.9,16.3,9.2,44.5
Tuscaloosa(1),109.3,–,6.3,17.1,16.2,1,3.9,10.6,9.5,11.5,4,29.2
,,,,,,,,,,,,
Alaska,316.5,12.9,13,12.9,59,5.8,11.6,27.6,50.1,31.4,10.8,81.4
Anchorage,170.5,2.8,7.5,1.9,36.2,4.1,7.9,18.8,30.9,19.4,6.1,34.9
Fairbanks,36.2,0.7,2,0.6,7.3,0.4,1.2,2.4,5.7,4,1,10.9
,,,,,,,,,,,,
Arizona,2822.8,11.6,150.5,169.4,527.4,45.2,218.3,422.6,439,323.2,88.4,427.2
Flagstaff(1),66.8,–,2.3,4.3,9.2,0.5,1.4,3.1,9.9,13.9,1.8,20.4
Lake Havasu City-Kingman(1),50.6,–,2.9,3.1,12.5,0.5,1.8,3.7,8.7,8,1.8,7.6
Phoenix-Mesa-Scottsdale,2079.3,3.1,118,127.5,398.7,35.9,189.8,346.7,319.4,227.7,65.1,247.4
Prescott(1),64.5,–,5.4,3.9,12.5,0.6,2.2,3.9,12.8,10.1,2,11.1
Sierra Vista-Douglas(1),33.3,–,1.5,0.5,5.7,0.4,1.2,3.6,4.7,3.5,0.8,11.4
Tucson,384.5,1.7,16.4,24.4,60.6,5.4,17.8,53.2,66.1,45,13,80.9
Yuma(1),56.4,–,2.4,3,11.1,0.5,1.9,6.8,7.6,6.3,1.8,15
,,,,,,,,,,,,
Arkansas,1232.1,5.5,49.8,157.6,246.4,12.3,53,143.6,187.9,112.9,48.8,214.3
Fayetteville-Springdale-Rogers(1),256.8,–,11.5,29.4,55.9,1.8,7.8,49.8,29,25.8,9,36.8
Fort Smith(1),111.4,–,5.4,17.5,22.3,1.2,3.8,12.3,16.6,9,4.4,18.9
Hot Springs(2),37.8,–,–,–,–,–,–,–,–,–,–,4.6
Jonesboro(2),58,–,–,–,–,–,–,–,–,–,–,9.3
Little Rock-North Little Rock-Conway(1),356.6,–,17.6,20.1,69,5.7,21,46.8,56.7,33.1,15.4,71.2
